Job Details,Company Name,Location,Job Description,Skills,More Info
['Python Developer'],['SEVEN CONSULTANCY'],"['Navi Mumbai,  Mumbai']",['JOB DETAILSMin 3 year experience in Python applications related to data management.Postgres DB experience 3 yearsSQL ExperienceExperience in managing importing / exporting lar... More Details'],"['python  ,  mvc  ,  sql']",['https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-0G31Tk__PLUS__cdIVzpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['LAKSH HUMAN RESOURCE'],['Mumbai'],"['Powai ,  Mumbai Python Developer Experience : 1 to 3 yrs Skills Required : Job Summary : 1. Should have extensive knowledge of Python ,  Django frameowrk ,  REST APIs. 2. Shou... More Details']","['rest  ,  python  ,  django  ,  git']",['https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-lcbCfP6ryjlzpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['Datagrid Solutions'],['Mumbai'],"['Write well designed and optimized codeContribute in all phases of development lifecycle - troubleshoot ,  test and maintain the core product and database to ensure strong opti... More Details']","['python  ,  database  ,  django  ,  mysql  ,  api']",['https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-N84nwwbteV9zpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['art technology and software india pvt ltd'],['Cochin/ Kochi/ Ernakulam'],['ResponsibilitiesIn-depth knowledge of Python and Django framework 2  yr experience - Must HaveAPI design based on RESTBuild scalable and performance application with large dat... More Details'],"['rest  ,  python  ,  database  ,  django  ,  api']",['https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-dt7xm5__PLUS__70YNzpSvf__PLUS__uAgZw==&source=srp']
['PYTHON DEVELOPER'],['DREAMAJAX TECHNOLOGIES'],['Bengaluru / Bangalore'],"['PYTHON DEVELOPER B.E  /  B.Tech  /  MCA  /  M.Sc. ,  or equivalent with 4  years of Strong Experience as a Python developerStrong hands on experience on Core Python ,  Django ... More Details']","['python  ,  django  ,  api  ,  sql  ,  nosql']",['https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-Hs4abto1XwBzpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['zenga tv'],['Gurgaon'],"['Python Developer > GurgaonPositions: 4 Experience Required: 2  Years Responsibilities :Translate application storyboards and use cases into functional applicationsDesign ,  bu... More Details']","['python  ,  django  ,  html5  ,  javascript']",['https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-wV__PLUS__8zsbW__SLASH__E1zpSvf__PLUS__uAgZw==&source=srp']
['PYTHON Developer'],['INFINITY GROUP'],['Noida/Greater Noida'],"['DescriptionPosition: PYTHON DeveloperNo. of Requirement: 02- One for Fresher  ( Stipend ) - One for ExperienceEducation: B.Tech ,  M.Tech ,  BCA ,  MCA ,  Bsc  ( Computer ) Ex... More Details']","['python  ,  css  ,  django  ,  html  ,  bootstrap']",['https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-RFW1cJjYuEBzpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['SEVEN CONSULTANCY'],['Surat'],['JOB DETAILSCoordinating with development teams to determine application requirementsWriting scalable code using Python programming languageTesting and debugging applicationsDe... More Details'],"['Python programming  ,  programming language  ,  front-end developer']",['https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-surat-9-to-12-yrs-jobid-azMtMMTqiV9zpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['websharan infotech'],['Pune'],"['JOB DESCRIPTION 1. Design software solution by analyzing problem definition. Develops moderately complex software using python if necessary shell script ,  or other selected l... More Details']","['python  ,  problem solving  ,  software project  ,  software engineering']",['https://www.timesjobs.com/job-detail/python-developer-websharan-infotech-pune-0-to-3-yrs-jobid-wz9RE3ThWOFzpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['young minds technology solutions pvt ltd'],['Tirupati'],"['Roles  &  ResponsibilitiesWrite reusable ,  testable ,  and efficient codeDesign and implement of low-latency ,  high-availability ,  and performant applicationsIntegration of... More Details']","['python  ,  html5  ,  storage  ,  javascript  ,  security  ,  django']",['https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-CvErZkX__PLUS__W5ZzpSvf__PLUS__uAgZw==&source=srp']
['Python Developer'],['epixel software pvt ltd'],"['Delhi,  Delhi/NCR']",['Qualification - 1-3 years of experience with Python and Django development - Strong knowledge of Python programming language and web frameworks  ( Django preferred )  - Experi... More Details'],"['python  ,  css  ,  javascript  ,  django  ,  postgresql  ,  html  ,  mysql']",['https://www.timesjobs.com/job-detail/python-developer-epixel-software-pvt-ltd-delhi-delhi-ncr-1-to-3-yrs-jobid-XUB5iT7tEDFzpSvf__PLUS__uAgZw==&source=srp']
